SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_TYPE_SUITE_Children,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_B,"NAME_TYPE_SUITE_Spouse, partner",NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_Co-op apartment,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE_specific housing,HOUSETYPE_MODE_terraced house,WALLSMATERIAL_MODE_Block,WALLSMATERIAL_MODE_Mixed,WALLSMATERIAL_MODE_Monolithic,WALLSMATERIAL_MODE_Others,WALLSMATERIAL_MODE_Panel,"WALLSMATERIAL_MODE_Stone, brick",WALLSMATERIAL_MODE_Wooden
322225,0,0,1,1,1,0,405000.0,1546020.0,45333.0,1350000.0,0.006233,-15222,-404,-680.0,-4124,1,1,0,1,1,0,2.0,2,2,15,0,0,0,0,0,0,0.29231445839582,0.5926912659941826,0.3723336657058204,0.1227,0.1484,0.9896,0.0,0.4138,0.1667,0.1363,0.1409,0.001,0.125,0.154,0.9896,0.0,0.4138,0.1667,0.1394,0.1468,0.0011,0.1239,0.1484,0.9896,0.0,0.4138,0.1667,0.1386,0.1434,0.0011,0.111,0,0.0,0.0,0.0,0.0,-1718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
447645,0,0,0,0,1,0,202500.0,462825.0,29709.0,378000.0,0.020713,-18006,-1033,-8857.0,-1541,1,1,0,1,0,0,2.0,3,2,10,0,0,0,0,0,0,0.3971688714345566,0.4688862991135395,0.622922000268356,0.1021,0.1084,0.9796,0.0,0.2069,0.1667,0.0358,0.0915,0.0,0.104,0.1124,0.9796,0.0,0.2069,0.1667,0.0366,0.0954,0.0,0.1031,0.1084,0.9796,0.0,0.2069,0.1667,0.0364,0.0932,0.0,0.0802,0,0.0,0.0,0.0,0.0,-1751.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
427482,0,0,0,0,1,0,74250.0,454500.0,13023.0,454500.0,0.025164,-22894,365243,-12117.0,-4494,1,0,0,1,1,0,1.0,2,2,16,0,0,0,0,0,0,0.6961973171939341,0.0499999246643541,0.7850520263728172,0.0722,0.0822,0.9836,0.0,0.1379,0.1667,0.0923,0.0686,0.022,0.0735,0.0853,0.9836,0.0,0.1379,0.1667,0.0944,0.0714,0.0232,0.0729,0.0822,0.9836,0.0,0.1379,0.1667,0.0939,0.0698,0.0224,0.0587,0,0.0,0.0,0.0,0.0,-235.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
104863,1,0,1,1,0,0,265500.0,521280.0,28408.5,450000.0,0.002042,-13936,-3411,-7969.0,-4607,1,1,0,1,0,0,1.0,3,3,16,0,0,0,0,0,0,0.1253950169807987,0.5573422275262607,0.6738300778602003,0.0825,0.0767,0.9796,0.0,0.1379,0.1667,0.0312,0.0759,0.002,0.084,0.0796,0.9796,0.0,0.1379,0.1667,0.0319,0.079,0.0021,0.0833,0.0767,0.9796,0.0,0.1379,0.1667,0.0318,0.0772,0.002,0.0785,0,0.0,0.0,0.0,0.0,-199.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
261938,0,0,0,0,1,0,202500.0,403330.5,27081.0,333000.0,0.04622,-10313,-795,-3319.0,-257,1,1,0,1,0,0,2.0,1,1,12,0,0,0,0,0,0,0.1788953152691445,0.6766146177983713,0.4048783643353997,0.2216,0.1314,0.9806,0.24,0.2069,0.3333,0.0695,0.22,0.0084,0.2258,0.1364,0.9806,0.2417,0.2069,0.3333,0.0711,0.2292,0.0089,0.2238,0.1314,0.9806,0.24,0.2069,0.3333,0.0707,0.224,0.0085,0.2034,0,0.0,0.0,0.0,0.0,-407.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
265202,0,0,1,1,0,0,202500.0,348264.0,19993.5,315000.0,0.018801,-16122,-257,-8309.0,-4684,1,1,1,1,1,0,2.0,2,2,15,0,0,0,0,0,0,0.2989425070837402,0.5637899871136705,0.7503751495159068,0.3804,0.4369,0.9856,0.4,0.3448,0.3333,0.2077,0.3861,0.0009,0.3876,0.4534,0.9856,0.4028,0.3448,0.3333,0.2124,0.4023,0.001,0.3841,0.4369,0.9856,0.4,0.3448,0.3333,0.2113,0.3931,0.001,0.3039,0,0.0,0.0,0.0,0.0,-1590.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
219182,1,1,1,0,1,1,103500.0,270000.0,13500.0,270000.0,0.026392,-12817,-400,-6868.0,-4239,1,1,1,1,1,0,2.0,2,2,17,0,0,0,0,0,0,0.0816596306264963,0.0019841980419616,0.3723336657058204,0.0278,0.0578,0.9896,0.0,0.1034,0.0833,0.0287,0.0287,0.0,0.0284,0.06,0.9896,0.0,0.1034,0.0833,0.0293,0.0299,0.0,0.0281,0.0578,0.9896,0.0,0.1034,0.0833,0.0292,0.0293,0.0,0.0226,0,4.0,0.0,4.0,0.0,-793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
347385,0,0,0,0,1,0,292500.0,840951.0,33480.0,679500.0,0.0116569999999999,-18764,-9258,-748.0,-2324,1,1,0,1,0,0,2.0,1,1,18,0,0,0,0,0,0,0.7913905674342798,0.6409872217922984,0.1614630800057724,0.0619,0.1309,0.996,0.0,0.0345,0.1667,0.0227,0.105,0.0,0.063,0.1358,0.996,0.0,0.0345,0.1667,0.0232,0.1094,0.0,0.0625,0.1309,0.996,0.0,0.0345,0.1667,0.0231,0.1069,0.0,0.0917,0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
404638,0,1,0,0,0,0,472500.0,1350000.0,67500.0,1350000.0,0.006207,-12240,-1437,-6033.0,-4539,1,1,0,1,0,0,2.0,2,2,11,1,1,0,0,0,0,0.8140796849872926,0.6825143755019625,0.3376727217405312,0.0309,0.0282,0.9846,0.0,0.069,0.1667,0.0268,0.0236,0.0,0.0315,0.0292,0.9846,0.0,0.069,0.1667,0.0274,0.0246,0.0,0.0312,0.0282,0.9846,0.0,0.069,0.1667,0.0273,0.024,0.0,0.0265,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
248157,1,0,1,1,1,2,360000.0,2250000.0,59485.5,2250000.0,0.028663,-17699,-1140,-1876.0,-1232,1,1,0,1,0,0,4.0,2,2,12,0,0,0,0,1,1,0.6782514686097513,0.6467735156566932,0.3123653692278984,0.2423,0.1569,0.9965,0.32,0.1724,0.5833,0.382,0.3305,0.19,0.2468,0.1628,0.9965,0.3222,0.1724,0.5833,0.3907,0.3444,0.2012,0.2446,0.1569,0.9965,0.32,0.1724,0.5833,0.3887,0.3365,0.194,0.306,0,2.0,2.0,2.0,2.0,-636.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
